order_id,product_id,add_to_cart_order,reordered
36,39612,1,0
36,19660,2,1
36,49235,3,0
36,43086,4,1
36,46620,5,1
36,34497,6,1
36,48679,7,1
36,46979,8,1
38,11913,1,0
38,18159,2,0
38,4461,3,0
38,21616,4,1
38,23622,5,0
38,32433,6,0
38,28842,7,0
38,42625,8,0
38,39693,9,0
844,14992,1,1
844,21405,2,1
844,11182,3,1
844,28289,4,1
844,9387,5,1
844,18599,6,1
844,31766,7,1
915,17417,1,1
915,1582,2,1
915,196,3,1
915,29529,4,1
915,42013,5,1
915,45687,6,1
915,47931,7,1
915,48226,8,1
915,36570,9,1
915,30723,10,1
915,19977,11,0
915,9804,12,0
915,37487,13,0
915,4335,14,0
1032,11063,1,1
1032,26165,2,1
1032,27966,3,1
1032,8859,4,1
1032,44116,5,1
1032,5450,6,1
1032,9741,7,1
1032,22491,8,1
1032,45343,9,1
1032,32467,10,1
1032,20084,11,1
1032,21901,12,0
1032,44359,13,1
1032,19057,14,0
1032,43122,15,1
1032,8277,16,0
1032,747,17,0
1032,49021,18,0
1032,48465,19,0
1032,29869,20,0
1032,9618,21,0
1032,10089,22,0
1032,2450,23,1
1032,9133,24,0
1032,35352,25,0
1764,27086,1,1
1764,4595,2,1
2021,9387,1,0
2021,4461,2,0
2021,22935,3,1
2021,8193,4,1
2021,10504,5,0
2021,22089,6,1
2021,23265,7,1
2021,27841,8,1
2021,44402,9,1
2021,34358,10,1
2021,199,11,1
2021,5077,12,1
2021,44292,13,1
2021,47626,14,1
2021,5460,15,1
2021,29382,16,1
2021,31506,17,1
2318,459,1,1
2318,37354,2,1
2318,46941,3,1
2318,17678,4,0
2415,21137,1,1
2415,24852,2,1
2415,5450,3,1
2415,46979,4,1
2415,41844,5,0
2415,28188,6,0
3179,35221,1,1
3179,39322,2,1
3179,3634,3,1
3179,44632,4,1
3179,14867,5,1
3179,47990,6,0
3179,5757,7,0
3179,34521,8,0
3212,45504,1,1
3309,11801,1,1
3309,27744,2,1
3309,32312,3,1
3309,34106,4,0
3349,33198,1,1
3349,25064,2,0
3349,48455,3,1
3349,17038,4,0
3349,30391,5,0
3397,19816,1,1
3397,5652,2,1
3397,34590,3,1
3397,36695,4,1
3397,37065,5,0
3397,2314,6,0
3397,33031,7,1
3473,14966,1,0
3473,15200,2,1
3473,7147,3,1
3473,32303,4,1
3473,13424,5,1
3473,11759,6,1
3473,21137,7,1
3473,18023,8,1
3473,46799,9,0
3473,14477,10,1
3473,9996,11,0
3473,6369,12,1
3473,13042,13,1
3473,31759,14,1
